,store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
140,4980781886232290796,616,11,0,883,6,0
141,148795032015503980,1430,0,0,69,6,0
142,7048905833395581738,323,18,0,1176,23,0
143,3520543761789396773,1429,7,0,70,0,0
144,7700782639388559644,321,2,0,1178,15,0
145,8032203943642240039,644,11,0,855,6,0
146,3511697439746388335,1016,9,0,483,1,0
147,541109969542481625,304,2,0,1195,15,0
148,2243645196147922938,239,2,0,1260,15,0
149,8138753161225770962,526,20,0,973,15,0
150,4564476575467126467,1415,16,0,84,15,0
151,2745405131043922955,1377,7,0,122,1,0
152,367590061114712815,1434,0,0,65,6,0
153,4392262532304212457,0,3,0,0,0,0
154,8204802052972909326,1428,6,0,71,1,0
155,8260425251717833965,53,2,0,6,15,0
156,2723370672116413902,308,2,0,1191,15,0
157,4328591465187020322,1438,0,0,61,6,0
158,5013320822136552165,57,5,0,2,1,0
159,7315424696798227151,238,2,0,1261,15,0
160,84556309993044773,1379,0,0,120,7,0
161,5501223155082294021,0,0,0,0,1,0
162,7082578511700830448,1437,0,0,62,6,0
163,3735062644644951598,771,1,0,728,16,0
164,6885055584095593568,714,10,0,785,7,0
165,2739506591976043860,1372,0,0,127,7,0
166,7570269368745353854,626,10,0,873,7,0
167,3880151045864708269,1432,0,0,67,6,0
168,3904969617592740705,1437,0,0,62,6,0
169,6293447473718103019,583,11,0,916,6,0
170,9093184199664355954,778,0,0,721,17,0
171,3639357247132139641,0,0,0,0,0,0
172,4452511061815625182,58,0,0,1,6,0
173,4302876854415357898,51,3,0,8,3,0
174,9187547007090535526,47,1,0,12,6,0
175,6102129618872858606,1439,0,0,60,6,0
176,6828664592648566966,701,10,0,798,7,0
177,4294796976390641784,0,0,0,0,0,0
178,2799412755942795518,1348,1,0,151,6,0
179,5228523973235102150,648,10,0,851,7,0
180,7787233413436356353,1431,21,0,68,10,0
181,8767068586059881204,1429,0,0,70,6,0
182,6047205650421415000,1430,1,0,69,6,0
183,1653546505509885456,49,3,0,10,3,0
184,2435196420942917349,57,20,0,2,10,0
185,2357757371120531929,1434,0,0,65,6,0
186,404347378606512385,1003,7,0,496,10,0
187,7920342993186169703,1426,7,0,73,0,0
188,1749934803604450894,1435,5,0,64,3,0
189,4683660238197535839,1108,3,0,391,6,0
190,590843890890025127,1432,0,0,67,6,0
191,8518420877315551053,767,0,0,732,17,0
192,8174582901236810236,57,3,0,2,3,0
193,1247679670163222814,774,0,0,725,17,0
194,2093459406570130080,35,1,0,24,5,0
195,6552433352624117779,1430,0,0,69,6,0
196,5128069222245972936,0,0,0,0,0,0
197,5617147641233795296,58,3,0,1,3,0
198,2328922577549224385,625,10,0,874,7,0
199,8902299702965892833,660,11,0,839,6,0
200,5772275248460011564,882,10,0,617,0,0
201,7709672704889672140,57,5,0,2,1,0
202,1568938491008399136,0,3,0,0,0,0
203,7598275831951085035,0,19,0,0,6,0
204,5484740482186213372,54,16,0,5,15,0
205,4270744069660276008,604,11,0,895,6,0
206,5934756706876462824,1284,4,0,215,0,0
207,5332269489088543854,53,2,0,6,15,0
208,2821716218327194996,1430,0,0,69,6,0
209,2141385027021675889,1429,0,0,70,6,0
210,2107845511883729045,1436,0,0,63,6,0
211,5645218418215070857,235,2,0,1264,15,0
212,3121383547391132887,768,0,0,731,17,0
213,8470714152989033556,57,3,0,2,3,0
214,1142217956989272744,0,0,0,0,1,0
215,6940297665890606054,1376,0,0,123,7,0
216,4378492065940312953,0,3,0,0,0,0
217,4668147078195147229,270,2,0,1229,15,0
218,1265586619698561267,767,0,0,732,17,0
219,4108771977457241007,0,0,0,0,1,0
220,442221075012068131,880,4,0,619,6,0
221,1133297841839630705,311,2,0,1188,15,0
222,4393726559807507255,1436,0,0,63,6,0
223,2570503046636429378,353,2,0,1146,15,0
224,2741813902405087050,60,11,0,0,0,0
225,114275044024650773,1420,7,0,79,0,0
226,3430291845684286642,51,15,0,8,15,0
227,2789835417512749936,1437,0,0,62,6,0
228,6561574537151816086,1427,0,0,72,6,0
229,96562112022963516,49,3,0,10,3,0
230,7535412366097548723,54,15,0,5,15,0
231,3587665864946240964,1439,0,0,60,6,0
232,2601623541509400542,54,5,0,5,1,0
233,7516542846385307227,0,0,0,0,0,0
234,3510851156832069763,55,20,0,4,10,0
235,7735253880009557608,57,3,0,2,3,0
236,4624725758261783243,307,2,0,1192,15,0
237,3261499711683468740,51,6,0,8,0,0
238,891329511295269720,0,17,0,0,10,0
239,8395278100631560761,494,11,0,1005,6,0
240,2543361499493856526,0,14,0,0,10,0
241,1352067438971867278,1052,5,0,447,6,0
242,8158574425503693718,51,1,0,8,6,0
243,978662904734234369,54,0,0,5,6,0
244,8284419975823451193,0,3,0,0,0,0
245,4568804477775278696,768,1,0,731,16,0
246,3334018861623947597,1133,0,0,366,11,0
247,5869359793550600766,775,1,0,724,16,0
248,3967308403807969669,59,3,0,0,3,0
249,7915689110941151310,321,2,0,1178,15,0
250,5749922296635145506,58,15,0,1,15,0
251,8494749731668571682,0,19,0,0,6,0
252,9125769193436105000,49,2,0,10,15,0
253,8804060814231974834,1435,0,0,64,6,0
254,6762475149574716258,32,0,0,11,5,0
255,8567568702056553166,55,5,0,4,1,0
256,2062632175994588271,52,7,0,7,0,0
257,2326998101403619796,778,0,0,721,17,0
258,3476297652413330731,47,3,0,12,3,0
259,8769244068032301610,671,11,0,828,6,0
260,1281369870889059404,1439,0,0,60,6,0
261,7484228659551863931,1429,1,0,70,6,0
262,5194480840419173071,965,10,0,534,7,0
263,7913048394031126738,308,2,0,1191,15,0
264,7107629672848489940,56,3,0,3,3,0
265,7101133681770744047,13,2,0,0,3,0
266,5285677229247796985,777,0,0,722,17,0
267,2447384155877148423,1427,4,0,72,3,0
268,3004335085266214420,52,3,0,7,3,0
269,4616172507620864132,2,0,0,11,1,0
270,4479691732026209340,349,2,0,1150,15,0
271,6833173360315994191,1429,0,0,70,6,0
272,6348248333327710775,743,1,0,756,16,0
273,3733328457465971628,1367,0,0,132,7,0
274,2696644192611925431,57,5,0,2,1,0
275,8721185064311032518,775,0,0,724,17,0
276,4147900741778358744,232,2,0,1267,15,0
277,5048390595707248268,56,20,0,3,10,0
278,6236032181607039940,394,2,0,1105,15,0
279,4398082883008351949,13,2,0,0,3,0
280,8656974969835091987,1432,4,0,67,3,0
281,78840133745304014,1434,0,0,65,6,0
282,3344763649801164460,1431,16,0,68,15,0
